主題,プロンプト,出力例,コメント
1. メールを200字で整える,"次の「下書き」から、日本式の社外ビジネスメールを作成してください。出力は「件名」「本文」の2部構成。本文は “挨拶→結論→理由→次の一手→結び→署名” の順。本文は200字前後（±40字まで可）、件名は20字前後。日付表記は「YYYY/MM/DD HH:MM」。

【やること】
1) 下書きから「相手社名・相手名・自社名・氏名・目的・実施内容・期日（納期/共有時刻）・その他重要情報」を抽出。
2) 無い情報は下書きの文脈から1行で補完（例: 期日未記載→“○日内に一次案共有”）。憶測の固有名は作らない。
3) 丁寧語で統一。本文は段落改行を入れて読みやすく。

【入力】
下書き：
{下書き}

【出力フォーマット（厳守）】
件名：{要旨が分かる短題（日時を括弧で）}

{相手社名}
{相手名} 様

いつもお世話になっております。{自社名}の{氏名}です。
結論：{目的}のため、{実施内容}いたします。
理由：{根拠や効果を1行}
次の一手：{期日}までに{具体アクション}いたします。
何卒よろしくお願いいたします。

{自社名}
{氏名}","件名：A実施のご連絡（2025/08/12 15:00 草案共有）

〇〇株式会社
山田様

いつもお世話になっております。株式会社メタマケの石澤です。
結論：サイト改善のため、Aを実施いたします。
理由：コスト削減と納期短縮が見込めるためです。
次の一手：2025/08/12 15:00までに草案を共有いたします。
何卒よろしくお願いいたします。

株式会社メタマケ
石澤亮輔",“音声入力で伝えたいことを下書きとして渡す→AIが抽出・補完→日本式200字”の一気通貫にすると、入力者の手間が最小になります。
2. 社外向け丁寧文＋件名案,"次の「下書き」から、社外向けの丁寧なメール本文（200字前後）と「件名案×3（20字前後）」を作成してください。本文は “挨拶→用件（結論先出し）→補足（理由/背景）→お願い/次の一手→結び→署名” の順。固有名は下書きから抽出し、無い場合は空欄のままにする（憶測で作らない）。句読点は「、。」，日付は「YYYY/MM/DD」表記。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
件名案：
- {短題1}
- {短題2}
- {短題3}

本文：
{相手社名}
{相手名} 様

いつもお世話になっております。{自社名}の{氏名}です。
{用件（結論）}
{理由/背景（1行）}
{お願い/次の一手（期限や方法を1行）}
何卒よろしくお願いいたします。

{自社名}
{氏名/署名}","件名案：
- 仕様確認のお願い（8/16まで）
- A案検討の可否について
- 見積ご相談（8/19目安）

本文：
〇〇株式会社
山田様

いつもお世話になっております。株式会社メタマケの石澤です。
結論：A案にて御社のご要件に合わせた改訂案を提示いたします。
背景：現行フローの手戻りが多く、納期短縮の余地があるためです。
お願い：2025/08/16までに仕様のご確認可否をご返信ください。
何卒よろしくお願いいたします。

株式会社メタマケ
石澤亮輔","“件名案×3＋本文1本”を同時に出すと、そのまま送信か修正かの判断が即できます。

――――"
3. Slack用100字依頼,"「下書き」から、Slack向けに100字前後の依頼文を1本作成してください。冒頭に“お願い:”を付け、末尾に“締切:”を付ける。冗長表現は省き、動詞は能動態で。固有名や日付時刻は下書きから抽出し、無ければ「未定」と明記。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
お願い: {依頼内容を平叙文で簡潔に}
補足: {目的/前提を1行（任意）}
締切: {YYYY/MM/DD HH:MM または 未定}","お願い: 仕様書v2のレビューをお願いします。誤字と要件抜けの指摘のみでOKです。
補足: 来週のクライアント確認に向け事前整備です。
締切: 2025/08/12 17:00","“お願い/補足/締切”の3行だけにすると読み手が即動けます。

――――"
4. 遅延のお詫び80字,"「下書き」から、返信/対応遅延に関するお詫び文を70〜90字で作成してください。“謝意→理由（名詞句1つ）→挽回策（具体）”の順。主語と責任は自分側で受ける。忖度語は避ける。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
{お礼/お詫び}。{理由（名詞句）}により遅延しました。{挽回策（今日/いつまでに何をするか）}。",ご連絡が遅れ失礼しました。内部確認の長期化により遅延しました。本日中に修正版を共有いたします。,"“理由は名詞句/挽回策は動作”で短くても誠実さが伝わります。

――――"
5. 日程調整テンプレ,"「下書き」から打合せの日程調整文を作成してください。候補はA/B/Cの3つ。各候補は「日付/時間/所要/方法（オンラインor対面）/場所」を1行で。本文は“挨拶→目的→候補提示→代替の提案→結び”。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
本文：
{相手社名}
{相手名} 様

いつもお世話になっております。{自社名}の{氏名}です。
{打合せ目的（1行）}
候補A: {MM/DD} {HH:MM-HH:MM} / 所要{分} / {オンラインor対面} / {場所}
候補B: {…}
候補C: {…}
上記以外でも調整可能です。ご都合の良い候補をご指定ください。
何卒よろしくお願いいたします。","本文：
〇〇株式会社
山田様

いつもお世話になっております。株式会社メタマケの石澤です。
来期施策の進め方について打合せのお願いです。
候補A: 08/13 15:00-15:30 / 所要30 / オンライン / Zoom
候補B: 08/14 10:00-10:30 / 所要30 / 対面 / 本社会議室B
候補C: 08/14 17:30-18:00 / 所要30 / オンライン / Zoom
上記以外でも調整可能です。ご都合の良い候補をご指定ください。
何卒よろしくお願いいたします。","“候補3本＋方法＋場所”までセットにすると往復が1回で済みます。

――――"
6. 上司報告3点セット,"「下書き」から上司向けの短文報告を3行で作成してください。各行は20〜40字。“現状→課題→相談”の順。相談はYes/Noで答えられる形にする。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
現状: {今の到達点}
課題: {詰まり/リスク}
相談: {承認/方針/予算などのYes/No問合せ}","現状: POC精度92%で停止
課題: 学習データの偏り
相談: 追加収集の予算承認をお願いしたいです","“相談はYes/No化”で決裁の初速が上がります。

――――"
7. 依頼断りの角の立たない文,"「下書き」から、角の立たないお断り文を120〜160字で作成してください。“謝意→困難理由→代替案（1つ）→フォロー意志”。否定語は短く、相手の面子を保つ言い回しを用いる。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
{謝意（1文）}。{困難理由（1行）}。{代替案（紹介/時期提案など）}。{必要ならお手伝いの意志}。","お声がけいただきありがとうございます。恐縮ですが日程都合により今回は難しく存じます。
代替として同領域に強いC社をご紹介可能です。ご希望あればおつなぎします。","“代替案”を添えると関係を損なわずに断れます。

――――"
8. やんわりリマインド,"「下書き」から、穏やかな未対応リマインドを80〜100字で作成してください。“目的→依頼項目→社内の締切/背景→お願い”の順。相手の事情を推測する言い回しは使わない。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
{目的（1句）}の件、{依頼項目}の進捗いかがでしょうか。社内締切は{YYYY/MM/DD}です。可能であれば本日中に一次回答をお願いします。",来期準備の件、見積条件のご確認いかがでしょうか。社内締切は2025/08/15です。可能であれば本日中に一次回答をお願いします。,"“背景（締切）”を書き添えると通りが良くなります。

――――"
9. 【ネタ】飲み会で突然みんなの前でしゃべることになった時の話のネタを考える,"次の「下書き」から、即席スピーチ用の“安全で笑えるネタ”を3本作成してください。各ネタは「フック→本筋→オチ」を各1文、合計3文・120字以内。身内ネタ・個人攻撃・ハラスメント・機微情報は避け、誰でも笑える日常の話題に限定。

【入力】
下書き：{場/聴衆/話題ヒント}

【出力フォーマット（厳守）】
ネタ1: フック: {1文} / 本筋: {1文} / オチ: {1文}
ネタ2: フック: {1文} / 本筋: {1文} / オチ: {1文}
ネタ3: フック: {1文} / 本筋: {1文} / オチ: {1文}","ネタ1: フック: 今日の乾杯、私が一番喉が渇いてます。 / 本筋: さっき自販機で水を買ったのに会場で無料だと知り… / オチ: 経費精算しません、学びは“まず会場を見よう”。
ネタ2: フック: 名刺の在庫、今日ゼロになりました。 / 本筋: 渡し過ぎではなく、落として全部拾っていただいたからです。 / オチ: 本日のKPIは“拾ってくれた優しさ”。
ネタ3: フック: 迷子になって5分遅れました。 / 本筋: 地図アプリの矢印がぐるぐる回り続け… / オチ: でも皆さんの笑顔で方向が定まりました。",笑いは攻めずに“自分落とし”で取るのが正解。場を温めて自分で着地——内輪も毒舌も置いていく、翌朝も恥ずかしくない小話工場。
10. 長文→5タスク化,"「下書き」だけを入力として、実行可能なタスクを5件に分解してください。各タスクは「動詞で始まる1行」で、所要時間目安・期限・担当を付ける。欠落情報は推測補完する（所要時間は30/45/60/90分のいずれか、期限は“未設定”、担当は“未割当”）。最後に合計所要時間を出す。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
- タスク1: {作業内容} / 所要: {分}分 / 期限: {YYYY/MM/DD または 未設定} / 担当: {氏名 または 未割当}
- タスク2: {…}
- タスク3: {…}
- タスク4: {…}
- タスク5: {…}
合計所要時間: {合計}分","- タスク1: 仕様素案を作成する / 所要: 60分 / 期限: 2025/08/14 / 担当: 田中
- タスク2: 関係者にヒアリングする / 所要: 90分 / 期限: 未設定 / 担当: 未割当
- タスク3: コストを試算する / 所要: 45分 / 期限: 2025/08/16 / 担当: 佐藤
- タスク4: リスクを洗い出す / 所要: 30分 / 期限: 未設定 / 担当: 未割当
- タスク5: 日程案を作る / 所要: 30分 / 期限: 2025/08/15 / 担当: 田中
合計所要時間: 255分","“動詞で始める＋所要時間の選択肢固定”で粒度が揃います。

---"
